                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8213,                 2.6918,                 1.8236,                0.00333,                      1,                  0.995,                0.44814,                  1.972,                 3.1989,                 2.7605,                      0,                      0,                      0
                      2,                 1.7001,                 2.7701,                 1.7195,                0.00333,                      1,                  0.995,                0.44807,                 1.9402,                 3.2851,                 2.7256,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.3606,                 2.8228,                 1.4545,                0.00333,                      1,                0.82833,                0.38088,                 1.9198,                 3.2745,                  2.764,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 2.0577,                 3.0661,                 2.1805,                0.00333,                      1,                0.82833,                0.38134,                 1.9145,                 3.2627,                 2.7372,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.6443,                 3.1859,                 2.0615,                0.00333,                      1,                0.82833,                0.38088,                 1.9527,                 3.3905,                 2.7329,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.3516,                 2.6411,                 1.5108,                0.00333,                      1,                  0.995,                0.49786,                  1.742,                 3.3909,                 2.5969,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.3247,                 2.5143,                 1.4337,                0.00333,                      1,                  0.995,                 0.4975,                 1.5181,                 3.2938,                 2.2339,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.3664,                 2.4098,                 1.5817,                0.00333,                      1,                  0.995,                  0.597,                 1.2773,                 3.3906,                 1.9542,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.1899,                 2.0703,                 1.5099,                0.00333,                      1,                  0.995,                  0.597,                 1.2736,                 3.1143,                 1.9146,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.2102,                 1.9078,                 1.3143,                0.00333,                      1,                  0.995,                0.62179,                 1.0825,                 3.1215,                 1.7249,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.0147,                 1.5232,                 1.2629,                0.00333,                      1,                  0.995,                0.64654,                0.97952,                 2.9928,                 1.5587,              0.0001802,              0.0001802,              0.0001802
                     12,                0.87751,                 1.4635,                 1.1849,                0.00333,                      1,                  0.995,                0.74604,                 0.9438,                 2.8943,                 1.5827,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.0395,                 1.6689,                 1.3701,                0.00333,                      1,                  0.995,                0.74604,                 0.9935,                 2.6464,                 1.7461,             0.00021149,             0.00021149,             0.00021149
                     14,                 1.1509,                 1.4129,                 1.2327,                0.00333,                      1,                  0.995,                  0.796,                0.94058,                 2.5809,                 1.6645,             0.00022654,             0.00022654,             0.00022654
                     15,                 1.5769,                 1.9193,                 1.5968,                0.00333,                      1,                  0.995,                0.74604,                0.94347,                 2.5435,                   1.66,             0.00024119,             0.00024119,             0.00024119
                     16,                 1.1063,                 1.5733,                 1.3815,                0.00333,                      1,                  0.995,                0.72129,                0.87228,                 2.5023,                 1.5489,             0.00025545,             0.00025545,             0.00025545
                     17,                 1.4857,                 1.9304,                 1.7484,                0.00333,                      1,                  0.995,                0.74609,                0.86033,                 2.5962,                 1.4357,             0.00026931,             0.00026931,             0.00026931
                     18,                 1.1489,                 1.5486,                 1.2883,                0.00333,                      1,                  0.995,                0.74609,                0.86033,                 2.5962,                 1.4357,             0.00028278,             0.00028278,             0.00028278
                     19,                0.99709,                 1.4626,                 1.2111,                0.00333,                      1,                  0.995,                0.64658,                0.91356,                 2.6446,                 1.4354,             0.00029585,             0.00029585,             0.00029585
                     20,                0.85521,                 1.4625,                 1.1865,                0.00333,                      1,                  0.995,                0.64658,                0.91356,                 2.6446,                 1.4354,             0.00030852,             0.00030852,             0.00030852
                     21,                0.93166,                 1.2241,                 1.1536,                0.00333,                      1,                  0.995,                  0.796,                0.96637,                 2.7073,                 1.5432,              0.0003208,              0.0003208,              0.0003208
                     22,                 1.0366,                 1.2668,                 1.1964,                0.00333,                      1,                  0.995,                  0.796,                0.96637,                 2.7073,                 1.5432,             0.00033268,             0.00033268,             0.00033268
                     23,                0.72779,                 1.6667,                  1.287,                0.00333,                      1,                  0.995,                0.72129,                 1.0806,                 2.7652,                  1.693,             0.00034417,             0.00034417,             0.00034417
                     24,                  0.916,                 1.2603,                 1.2706,                0.00333,                      1,                  0.995,                0.72129,                 1.0806,                 2.7652,                  1.693,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.3049,                 1.5098,                 1.3164,                0.00333,                      1,                  0.995,                 0.6965,                 1.1509,                 2.7649,                 1.8092,             0.00036595,             0.00036595,             0.00036595
